codigo_barras,descricao,unidade,valor
7909006891311,CHINELO IPANRMA ROMANCE 36 BCO/PTO   , UN ,19.9
7909171305323,CHINELO MOEMAII 40 AZUL/VERM         , UN ,29.9
7909171171898,CHINELO MONSTER HIGH INF 29/30 PTO   , UN ,23.8
7909171172130,CHINELO MONSTER HIGH INF 29/30 ROXO  , UN ,23.8
7909006572807,CHINELO MONSTER HIGH INF 31/32 CINZA , UN ,23.8
7909006572883,CHINELO MONSTER HIGH INF 31/32 ROSA  , UN ,23.8
7909006257742,CHINELO MORMAII 33/34 LILAS          , UN ,22.4
7909006257773,CHINELO MORMAII 37 LILAS             , UN ,22.4
7909171305316,CHINELO MORMAII 39 AZUL/VERM         , UN ,29.9
7909006257797,CHINELO MORMAII 39/40 LILAS          , UN ,22.4
7909006604621,CHINELO MORMAII 40 PRETO             , UN ,29.9
7909171305330,CHINELO MORMAII 41 AZUL/VERM         , UN ,29.9
7909171305347,CHINELO MORMAII 42 AZUL/VERM         , UN ,29.9
7909006604706,CHINELO MORMAII 42 AZUL/VERN         , UN ,29.9
7890875866312,CHINELO MORMAII 43/44 CINZA          , UN ,29.9
7909006604638,CHINELO NORMAII 41 PTO               , UN ,29.9
7909006192616,CHINELO REIDER 41 VERDE              , UN ,22.3
7909006895531,CHINELO RIDER 42 BCO VERM            , UN ,22.4
7909006192623,CHINELO RIDER 42 VERDE               , UN ,22.3
7898174485456,CHUPETA CONVENCIONAL NINET 0 A 6MESES, UN ,4.19
7898917077016,COADOR ARTESANAL COADOR DO SUL  1 UN , UN ,2.75
7898331732478,COADOR DE CHAS 8CM                   , UN ,1.5
7897731148001,COLA BASTAO MARIPEL 8G               , UN ,1.5
7897731140906,COLA COLAPEL 90G                     , UN ,2.29
7897562200473,COLA MAXI 40G                        , UN ,1.49
7891200190942,COLA SUPER BONDER 3G LOCTITE         , UN ,4.99
7893505001121,COLHER DE CHA BARICHELLO C/4UBN      , UN ,2.99
7893505001145,COLHER DE SOBREMESA BARICHELLO INOX C, UN ,2.99
7897996700044,COLHER OVAL 35 CM                    , UN ,3.9
7897096102120,COLHER PARA ANIVERSARIO /10PARABENS  , UN ,1.8
7895433001464,COLHER PARA ANIVERSARIO AZUL         , UN ,1.8
7896276900303,COLHER PARA SOBREMESA CONFESTA AZUL  , UN ,1.99
7898452488452,COLHER PARA SORVETE INOX             , UN ,4.9
7896343089160,COLHER PLASTICA DESC. PRAFESTA 10UN  , UN ,1.8
7891175011990,COLHER PLASTICAS DESC. REGINA 10UN   , UN ,1.99
7893505000810,COLHERES BARICHELLO INOX C/3UN       , UN ,2.99
7891112146051,COLHERES TRAMONTINA BRISA C/3UN      , UN ,5.6
7897291816938,CONJUNTO DE POTES PARA TEMPEROS      , UN ,5.29
7897291808957,CONJUNTO DE POTES QUADRADO GIPLAS COM, UN ,4.9
7897291800814,CONJUNTO DE POTES QUADRADOS GRANDE GI, UN ,4.9
7891055141328,CONJUNTO PENTES ROMANCE CONDOR       , UN ,7.29
7897291813302,CONJUNTO POTES  GIPLAS QUADRADOS COM , UN ,4.9
7897291801545,CONJUNTO POTES GIPLAS QUADRADOS MEDIO, UN ,4.9
7897291805628,CONJUNTO POTES GIPLAS REDONDOS COM 3 , UN ,4.9
7898901926702,CONJUNTO SOBREMESA INOX C/12PECAS    , UN ,16.99
7893505002265,CONJUNTO SOBREMESA PVC 12PECAS       , UN ,16.99
6930280837956,COPO COM CANUDO HUVI                 , UN ,3.49
7891017016305,COPO DE VIDRO                        , UN ,2.5
